Date,Open,High,Low,Close,Volume,Market Cap
24-05-2021,2e-08,3e-08,2e-08,3e-08,344539.06,0
23-05-2021,3e-08,3e-08,2e-08,2e-08,367671.47,0
22-05-2021,3e-08,4e-08,2e-08,3e-08,196046.57,0
21-05-2021,4e-08,4e-08,2e-08,3e-08,259392.78,0
20-05-2021,4e-08,4e-08,3e-08,4e-08,436700.89,0
19-05-2021,6e-08,6e-08,3e-08,4e-08,902798.57,0
18-05-2021,5e-08,6e-08,4e-08,6e-08,585600.76,0
17-05-2021,6e-08,6e-08,4e-08,5e-08,777538.27,0
16-05-2021,6e-08,7e-08,5e-08,6e-08,890753.45,0
15-05-2021,7e-08,8e-08,4e-08,6e-08,949284.45,0
14-05-2021,8e-08,9e-08,7e-08,7e-08,1177735,0
13-05-2021,1e-07,1e-07,7e-08,8e-08,2179850.89,0
12-05-2021,1.2e-07,1.2e-07,9e-08,1e-07,2902673.77,0
11-05-2021,6e-08,1.3e-07,6e-08,1.2e-07,5191873.25,0
10-05-2021,4e-08,8e-08,4e-08,6e-08,1839413.83,0
09-05-2021,4e-08,6e-08,4e-08,4e-08,1517249.35,0
08-05-2021,3e-08,5e-08,2e-08,4e-08,1650545.13,0
07-05-2021,4e-08,5e-08,2e-08,3e-08,679334.09,0
06-05-2021,5e-08,5e-08,4e-08,4e-08,1078888.55,0
05-05-2021,4e-08,6e-08,4e-08,5e-08,961918.2,0
04-05-2021,1.2e-07,1.5e-07,1e-08,4e-08,1009538.68,0
03-05-2021,1.2e-07,2.1e-07,1.1e-07,1.2e-07,1490831.28,0
02-05-2021,1.1e-07,1.6e-07,1e-07,1.2e-07,1034729.76,0
01-05-2021,1.4e-07,1.7e-07,1e-07,1.1e-07,1595920.63,0
30-04-2021,4e-08,1.9e-07,4e-08,1.4e-07,3255229.17,0
29-04-2021,5e-08,6e-08,3e-08,4e-08,1164551.89,0
28-04-2021,4e-08,5e-08,3e-08,5e-08,2273703.01,0
27-04-2021,3e-08,6e-08,3e-08,4e-08,6059857.01,0
