Date,Open,High,Low,Close,Volume,Market Cap
24-05-2021,1e-08,1e-08,1e-08,1e-08,69338.86,0
23-05-2021,1e-08,1e-08,1e-08,1e-08,137448.78,0
22-05-2021,1e-08,1e-08,1e-08,1e-08,144566.52,0
21-05-2021,2e-08,2e-08,1e-08,1e-08,115780.45,0
20-05-2021,1e-08,2e-08,1e-08,2e-08,229805.78,0
19-05-2021,2e-08,2e-08,1e-08,1e-08,331322.9,0
18-05-2021,2e-08,3e-08,1e-08,2e-08,976464.29,0
17-05-2021,3e-08,3e-08,2e-08,2e-08,1606321.28,0
16-05-2021,4e-08,4e-08,2e-08,3e-08,712276.04,0
15-05-2021,5e-08,5e-08,3e-08,4e-08,799550.08,0
14-05-2021,4e-08,8e-08,4e-08,5e-08,1830712.06,0
13-05-2021,5e-08,6e-08,0,4e-08,29036264.71,0
12-05-2021,1e-07,1.3e-07,4e-08,5e-08,2363178.25,0
11-05-2021,1.5e-07,1.9e-07,1e-07,1e-07,4680448.21,0
10-05-2021,5e-08,1.6e-07,5e-08,1.5e-07,6940689.86,0
09-05-2021,4e-08,8e-08,3e-08,5e-08,3724767.99,0
08-05-2021,4e-08,1e-07,3e-08,4e-08,3749903.63,0
07-05-2021,2e-08,4e-08,2e-08,4e-08,1295334.72,0
06-05-2021,3e-08,4e-08,2e-08,2e-08,255663.84,0
05-05-2021,2e-08,4e-08,2e-08,3e-08,1234934.63,0
04-05-2021,1e-08,3e-08,1e-08,2e-08,580646.93,0
03-05-2021,1e-08,2e-08,1e-08,1e-08,0,0
02-05-2021,2e-08,2e-08,1e-08,1e-08,10378.2,0
01-05-2021,2e-08,2e-08,1e-08,2e-08,1867.16,0
30-04-2021,1e-08,2e-08,1e-08,2e-08,2259.41,0
29-04-2021,2e-08,2e-08,1e-08,1e-08,2769.14,0
28-04-2021,2e-08,2e-08,1e-08,2e-08,207.38,0
27-04-2021,2e-08,2e-08,2e-08,2e-08,665.32,0
26-04-2021,2e-08,3e-08,2e-08,2e-08,2500.7,0
25-04-2021,3e-08,3e-08,2e-08,2e-08,773.98,0
24-04-2021,2e-08,4e-08,2e-08,3e-08,2275.99,0
23-04-2021,3e-08,3e-08,1e-08,2e-08,5376.22,0
22-04-2021,3e-08,4e-08,2e-08,3e-08,4966.21,0
21-04-2021,8e-08,8e-08,2e-08,3e-08,30452.11,0
20-04-2021,5e-08,1e-07,5e-08,8e-08,38244.8,0
