Date,Open,High,Low,Close,Volume,Market Cap
24-05-2021,1e-08,2e-08,1e-08,2e-08,628.77,0
23-05-2021,2e-08,2e-08,1e-08,1e-08,3319.1,0
22-05-2021,2e-08,2e-08,2e-08,2e-08,2180.42,0
21-05-2021,2e-08,2e-08,2e-08,2e-08,846.22,0
20-05-2021,2e-08,3e-08,2e-08,2e-08,1327.59,0
19-05-2021,3e-08,3e-08,2e-08,2e-08,8112.25,0
18-05-2021,3e-08,3e-08,3e-08,3e-08,5602.16,0
17-05-2021,3e-08,3e-08,2e-08,3e-08,18484.54,0
16-05-2021,5e-08,5e-08,2e-08,3e-08,90975.59,0
15-05-2021,6e-08,6e-08,5e-08,5e-08,16662.07,0
14-05-2021,4e-08,6e-08,4e-08,6e-08,25898.73,0
13-05-2021,6e-08,6e-08,4e-08,4e-08,146054.75,0
12-05-2021,6e-08,7e-08,6e-08,6e-08,151941.04,0
11-05-2021,6e-08,6e-08,5e-08,6e-08,75323.41,0
10-05-2021,6e-08,7e-08,5e-08,6e-08,188872.77,0
09-05-2021,4e-08,6e-08,4e-08,6e-08,158674.94,0
08-05-2021,5e-08,5e-08,4e-08,4e-08,133234.99,0
07-05-2021,6e-08,6e-08,5e-08,5e-08,114248.9,0
06-05-2021,5e-08,6e-08,4e-08,6e-08,180515.05,0
05-05-2021,8e-08,9e-08,4e-08,5e-08,644787.43,0
04-05-2021,1.1e-07,1.7e-07,5e-08,8e-08,3124914.04,0
03-05-2021,1e-08,1.2e-07,1e-08,1.1e-07,3028261.63,0
